Sample Number,Site ID,Target,"UTM East
NAD83_U10","UTM North
NAD83_U10",Sample Type,Standard Type,Date_Sampled,Sampler,Moisture,Angularity,Depth_cm,Horizon,Color,Site Vegetation,Texture,Description,Parent Sample Number
45601,SWA253,SOUTHWEST,677451,5501601,REG,,08/08/2023,CV,Dry,Sub-rounded,15,B Horizon,Light Brown-Grey,Forest,Silty Sand,,
45602,SWA254,SOUTHWEST,677501,5501602,REG,,06/20/2023,CV,Dry,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,In ravine near road,
45603,SWA255,SOUTHWEST,677549,5501599,REG,,06/20/2023,MP,Damp,Sub-rounded,30,B Horizon,red-brown,Forest,Sandy Silt,,
45604,SWA256,SOUTHWEST,677600,5501597,REG,,06/21/2023,MP,Damp,Sub-rounded,20,B Horizon,dk brown,Forest,Sandy Silt,,
45605,SWA257,SOUTHWEST,677647,5501606,REG,,06/21/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
45606,SWA258,SOUTHWEST,677700,5501599,REG,,06/21/2023,MP,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,,
45607,SWA259,SOUTHWEST,677750,5501605,REG,,06/21/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Forest,Silty Sand,,
45608,SWA260,SOUTHWEST,677801,5501604,REG,,06/21/2023,MP,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Silty Sand,,
45609,SWA261,SOUTHWEST,677850,5501602,REG,,06/21/2023,MP,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
45610,SWA261,,,,DUP,,06/21/2023,,,,,,,,,,045609
45611,SWA262,SOUTHWEST,677900,5501606,REG,,06/21/2023,MP,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
45612,SWA263,SOUTHWEST,677951,5501600,REG,,06/21/2023,EG,Damp,Sub-rounded,15,B Horizon,lt brown,Forest,Silty Sand,,
45613,SWA264,SOUTHWEST,677996,5501601,REG,,06/21/2023,EG,Damp,Sub-angular,20,B Horizon,lt brown,Forest,Silty Sand,,
45614,SWA104,SOUTHWEST,677644,5500802,REG,,06/21/2023,EG,Damp,Sub-angular,15,B Horizon,brown,Clear Cut,Silty Sand,,
45615,SWA103,SOUTHWEST,677603,5500800,REG,,06/21/2023,EG,Damp,Sub-angular,15,B Horizon,brown,Clear Cut,Silty Sand,,
45616,SWA102,SOUTHWEST,677551,5500801,REG,,06/21/2023,EG,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
45617,SWA101,SOUTHWEST,677498,5500800,REG,,06/21/2023,EG,Damp,Sub-rounded,15,B Horizon,lt brown,Clear Cut,Silty Sand,,
45618,SWA100,SOUTHWEST,677450,5500801,REG,,06/21/2023,EG,Damp,Sub-rounded,20,B Horizon,lt brown,Clear Cut,Sandy Silt,,
45619,SWA099,SOUTHWEST,677401,5500801,REG,,06/21/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
45620,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
45621,SWA098,SOUTHWEST,677351,5500800,REG,,06/25/2023,EG,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Silty Sand,,
45622,SWA097,SOUTHWEST,677298,5500804,REG,,06/21/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
45623,SWA096,SOUTHWEST,677249,5500798,REG,,06/21/2023,EG,Dry,Sub-rounded,10,B Horizon,lt brown,Clear Cut,Silty Sand,,
45624,SWA095,SOUTHWEST,677200,5500802,REG,,06/21/2023,MP,Damp,Sub-rounded,25,B Horizon,brown,Clear Cut,Sandy Silt,,
45625,SWA094,SOUTHWEST,677148,5500801,REG,,06/22/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
45626,SWA093,SOUTHWEST,677098,5500798,REG,,06/22/2023,MP,Damp,Sub-angular,20,B Horizon,brown,Clear Cut,Sandy Silt,,
45627,SWA092,SOUTHWEST,677048,5500801,REG,,06/22/2023,MP,Damp,Sub-rounded,25,B Horizon,brown,Clear Cut,Silty Sand,,
45628,SWA091,SOUTHWEST,677001,5500800,REG,,06/22/2023,MP,Damp,Sub-rounded,25,B Horizon,lt brown,Clear Cut,Sandy Silt,,
45629,SWA090,SOUTHWEST,676950,5500801,REG,,06/22/2023,MP,Dry,Angular,15,C Horizon,OB,Clear Cut,Gravelly,,
45630,SWA090,,,,DUP,,06/22/2023,,,,,,,,,,045629
45631,SWA089,SOUTHWEST,676900,5500802,REG,,06/22/2023,MP,Damp,Sub-rounded,20,B Horizon,lt brown,Clear Cut,Silty Sand,,
45632,SWA088,SOUTHWEST,676848,5500800,REG,,06/22/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
45633,SWA086,SOUTHWEST,676750,5500801,REG,,06/22/2023,MP,Damp,Sub-rounded,25,B Horizon,lt brown,Clear Cut,Sandy Silt,,
45634,SWA085,SOUTHWEST,676698,5500798,REG,,06/22/2023,MP,Damp,Sub-rounded,20,B Horizon,lt brown,Clear Cut,Sandy Silt,,
45635,SWA127,SOUTHWEST,676696,5501000,REG,,06/22/2023,MP,Damp,Sub-rounded,10,B Horizon,lt brown,Clear Cut,Sandy Silt,,
45636,SWA128,SOUTHWEST,676749,5501002,REG,,06/22/2023,MP,Damp,Sub-angular,20,B Horizon,lt brown,Clear Cut,Silty Sand,,
45637,SWA129,SOUTHWEST,676800,5501000,REG,,06/22/2023,MP,Damp,Sub-rounded,30,B Horizon,brown,Clear Cut,Sandy Silt,,
45638,SWA130,SOUTHWEST,676839,5501011,REG,,06/22/2023,MP,Moist,Sub-angular,35,B Horizon,brown,Clear Cut,Gravelly,"Poor sample, near marsh, heavily mixed/torn up ground from logging",
45639,ECL778,Eclipse,686051,5513101,REG,,06/22/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
45640,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
45641,ECL777,Eclipse,686002,5513100,REG,,07/05/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
45642,ECL776,Eclipse,685949,5513100,REG,,06/28/2023,MP,Moist,Sub-angular,20,B Horizon,brown,Clear Cut,Sandy Silt,,
45643,ECL775,Eclipse,685899,5513100,REG,,06/28/2023,MP,Dry,Sub-angular,10,B Horizon,lt brown,Clear Cut,Silty Sand,,
45644,ECL774,Eclipse,685850,5513101,REG,,06/28/2023,MP,Damp,Sub-angular,20,B Horizon,brown,Clear Cut,Sandy Silt,,
45645,ECL773,Eclipse,685800,5513102,REG,,06/28/2023,MP,Damp,Sub-angular,10,B Horizon,brown,Clear Cut,Sandy Silt,,
45646,ECL772,Eclipse,685746,5513086,REG,,06/28/2023,MP,Moist,Sub-rounded,40,B Horizon,dk brown,Forest,Sandy Silt,Sample moved 15 m due to marshy ground.,
45647,ECL771,Eclipse,685700,5513101,REG,,06/28/2023,MP,Dry,Sub-angular,15,B Horizon,brown,Forest,Silty Sand,,
45648,ECL770,Eclipse,685650,5513101,REG,,06/28/2023,MP,Dry,Sub-angular,20,B Horizon,brown,Forest,Silty Sand,,
45649,ECL769,Eclipse,685601,5513100,REG,,06/28/2023,MP,Dry,Sub-angular,20,B Horizon,brown,Forest,Sandy Silt,,
45650,,,,,Control,CDN-GEO-1901,,,,,,,,,,,
45651,Swa232,SOUTHWEST,677752,5501404,REG,,07/05/2023,CV,Moist,Sub-angular,10,B Horizon,brown,Forest,Silty Sand,Poor sample due to disturbed area. Near creek.,
45652,Swa233,SOUTHWEST,677797,5501402,REG,,06/21/2023,CV,Damp,Sub-rounded,25,B Horizon,brown,Clear Cut,Silty Sand,,
45653,Swa234,SOUTHWEST,677849,5501400,REG,,06/21/2023,CV,Damp,Sub-rounded,25,B Horizon,brown,Clear Cut,Silty Sand,,
45654,Swa235,SOUTHWEST,677898,5501399,REG,,06/21/2023,CV,Dry,Sub-rounded,30,B Horizon,brown,Clear Cut,Silty Sand,Lots of pebbles and organic material,
45655,Swa236,SOUTHWEST,677950,5501399,REG,,06/21/2023,CV,Moist,Sub-angular,30,B Horizon,brown,Clear Cut,Silty Sand,,
45656,Swa237,SOUTHWEST,677999,5501401,REG,,06/21/2023,CV,Damp,Sub-rounded,25,B Horizon,brown,Clear Cut,Silty Sand,,
45657,SWA062,SOUTHWEST,677648,5500600,REG,,06/21/2023,KN,Damp,Sub-rounded,25,B Horizon,lt brown,Forest,Silty Sand,"Thick organic layer, some got mixed in.",
45658,SWA061,SOUTHWEST,677598,5500600,REG,,06/21/2023,KN,Moist,Sub-angular,20,B Horizon,brown,Forest,Sandy Silt,Disturbed area.,
45659,SWA060,SOUTHWEST,677543,5500599,REG,,08/08/2023,KN,Damp,Sub-angular,15,B Horizon,brown,Forest,Pebbly Sand,"Sample location moved due to dead fall, reforested and disturbed area.",
45660,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
45661,SWA059,SOUTHWEST,677498,5500598,REG,,06/25/2023,KN,Damp,Sub-angular,15,B Horizon,brown,Clear Cut,Silty Sand,Reforested area.,
45662,SWA058,SOUTHWEST,677450,5500601,REG,,06/21/2023,KN,Dry,Sub-angular,15,B Horizon,brown,Forest,Pebbly Sand,"Close to a marsh and small aspen grove, lots of rocks, sample moved 2-3 m due to proximity to marsh.",
45663,SWA057,SOUTHWEST,677398,5500601,REG,,06/21/2023,KN,Dry,Sub-angular,20,B Horizon,lt brown,Clear Cut,Silty Sand,Reforested area ,
45664,SWA056,SOUTHWEST,677349,5500600,REG,,06/21/2023,KN,Damp,Sub-rounded,20,B Horizon,lt brown,Clear Cut,Silty Sand,"Minor trees, reforested area.",
45665,SWA055,SOUTHWEST,677299,5500602,REG,,06/21/2023,KN,Damp,Sub-angular,40,B Horizon,brown,Clear Cut,Silty Sand,"Few trees, reforested area.",
45666,SWA054,SOUTHWEST,677249,5500600,REG,,06/21/2023,KN,Damp,Sub-angular,35,B Horizon,brown,Forest,Silty Sand,,
45667,SWA053,SOUTHWEST,677203,5500600,REG,,06/22/2023,KN,Dry,Angular,25,B Horizon,OB,Forest,Pebbly Sand,Point had to be slightly moved due to dead fall. Soil is very pebbly,
45668,SWA052,SOUTHWEST,677152,5500605,REG,,06/22/2023,KN,Moist,Sub-angular,35,B Horizon,OB,Forest,Silty Sand,Sample location moved slightly due to bush and dead fall. Thick organic layer.,
45669,SWA051,SOUTHWEST,677101,5500595,REG,,06/22/2023,KN,Dry,Angular,40,B Horizon,lt brown,Forest,Silty Sand,Sample moved slightly due to dead fall.,
45670,SWA051,,,,DUP,,06/22/2023,,,,,,,,,,045669
45671,SWA050,SOUTHWEST,677047,5500602,REG,,06/22/2023,KN,Dry,Angular,25,B Horizon,lt brown,Clear Cut,Gravelly,On the edge of a forest and clearcut/reforested area ,
45672,SWA049,SOUTHWEST,676997,5500600,REG,,06/22/2023,KN,Damp,Sub-rounded,30,B Horizon,OB,Clear Cut,Silty Sand,Reforested area. ANTS!,
45673,SWA048,SOUTHWEST,676947,5500602,REG,,06/22/2023,KN,Dry,Sub-rounded,15,B Horizon,brown,Clear Cut,Silty Sand,Reforested area.,
45674,SWA047,SOUTHWEST,676900,5500600,REG,,06/22/2023,KN,Dry,Sub-angular,10,B Horizon,brown,Clear Cut,Sandy Silt,Reforested area. Very rocky soil.,
45675,SWA046,SOUTHWEST,676847,5500599,REG,,06/22/2023,KN,Dry,Sub-angular,20,B Horizon,lt brown,Clear Cut,Silty Sand,Reforested area.,
45676,SWA045,SOUTHWEST,676799,5500601,REG,,06/22/2023,KN,Damp,Sub-angular,20,B Horizon,brown,Clear Cut,Silty Sand,Reforested area.,
45677,SWA044,SOUTHWEST,676747,5500600,REG,,06/22/2023,KN,Dry,Angular,30,B Horizon,OB,Forest,Silty Sand,Very thick O layer.,
45678,SWA043,SOUTHWEST,676702,5500601,REG,,06/22/2023,KN,Dry,Sub-angular,35,B Horizon,brown,Forest,Pebbly Sand,Near the edge of the powerline.,
45679,SWA001,SOUTHWEST,676715,5500403,REG,,06/22/2023,KN,Dry,Sub-angular,30,B Horizon,lt brown,Clear Cut,Silty Sand,Sample moved 10-15 m due to heavily disturbed soil and dead fall/pile of logged wood. No photo due to cow ,
45680,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
45681,SWA002,SOUTHWEST,676748,5500401,REG,,07/05/2023,KN,Dry,Sub-angular,20,B Horizon,OB,Clear Cut,Sandy Silt,Middle of the power lines.,
45682,SWA003,SOUTHWEST,676798,5500398,REG,,06/22/2023,KN,Dry,Sub-angular,20,B Horizon,lt brown,Forest,Sandy Silt,Edge of the powerlines.,
45683,SWA004,SOUTHWEST,676850,5500402,REG,,06/22/2023,KN,Damp,Sub-angular,30,B Horizon,OB,Clear Cut,Silty Sand,Reforested area ,
45684,SWA065,SOUTHWEST,677800,5500601,REG,,06/22/2023,KB,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
45685,SWA066,SOUTHWEST,677845,5500601,REG,,06/24/2023,KB,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
45686,SWA067,SOUTHWEST,677901,5500596,REG,,06/24/2023,KB,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
45687,swa068,SOUTHWEST,677947,5500602,REG,,06/24/2023,KB,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
45688,SWA069,SOUTHWEST,678002,5500601,REG,,06/24/2023,KB,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,,
45689,SWA070,SOUTHWEST,678050,5500602,REG,,06/24/2023,KB,Damp,Sub-rounded,30,B Horizon,dk brown,Forest,Sandy Silt,,
45690,SWA070,,,,DUP,,06/24/2023,,,,,,,,,,045689
